Name,Phase,Prerequisite,Unique,Set,Slot,Type,Speed,Low,High,Armor,Health,Mana,Strength,Agility,Stamina,Intellect,Spirit,Attack Power,Spell Damage,Spell Healing,Nature Damage,Frost Damage,Fire Damage,Phys Hit,Spell Hit,Phys Crit,Spell Crit,Dagger Skill,Mace Skill,Axe Skill,Two-hand Mace Skill,Two-hand Axe Skill,Staff Skill,Melee Haste,Spell Haste,Mp5,Hp5,Spell Pen,Defense,Dodge,Parry,Block,Block Value,Arcane Resistance,Fire Resistance,Nature Resistance,Frost Resistance,Shadow Resistance
Abomination Skin Leggings,,,,,7,,,,,37,,,,,7,8,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Footwraps,,,,,8,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Gloves,,,,,10,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Loincloth,,,,,7,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Robe,,,,,20,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Arcane Wrath,,,,,23,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Fiery Wrath,,,,,23,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Frozen Wrath,,,,,23,,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Healing,,,,,23,,2,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Intellect,,,,,23,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Shadow Wrath,,,,,23,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of Spirit,,,,,23,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of the Eagle,,,,,23,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of the Falcon,,,,,23,,2,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of the Owl,,,,,23,,2,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of the Whale,,,,,23,,2,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Rod of the Wolf,,,,,23,,2,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Sash,,,,,6,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Vest,,,,,5,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidproof Cloak,,,,,16,,,,,16,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acolyte's Void Pearl,,,,,12,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Adept's Gloves,,,,,10,,,,,17,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advisor's Gnarled Staff,,,,,17,,2.9,45,69,,,,,,8,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Advisor's Gnarled Staff,,,,,17,,2.9,57,87,,,,,,10,6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Advisor's Ring,,,1,,11,,,,,,,,,,2,,,,5,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Agile Boots,,,,,8,,,,,53,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Hoop,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy's Blanket,,,,,16,,,,,23,,,,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Orb,,,,,23,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Robe,,,,,20,,,,,25,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Tunic,,,,,5,,,,,25,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Woollies,,,,,7,,,,,22,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Arctic Buckler,,,,,14,,,,,725,,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,
Ancient Moss Cinch,,,,,6,,,,,61,,,,,6,9,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antipodean Rod,,,1,,23,,1.6,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
Antiquated Cloak,,,,,16,,,,,18,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apothecary Gloves,,,,,10,,,,,20,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arced War Axe,,,,,17,,3.3,46,70,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Buckler,,,,,14,,,,,642,,,,,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,5,
Armor of the Fang,,,,,5,,,,,82,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemis Cowl,,,,,1,,,,,84,,,,7,6,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassin's Blade,,,,,13,,1.9,20,39,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astral Icon,,,1,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenger's Void Pearl,,,,,12,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Axe of Orgrimmar,,,,,17,,3.3,31,47,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axe of the Enforcer,,,,,13,,2.6,31,58,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azora's Will,,,,,11,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azshari Novice's Shoulderpads,,,,,3,,,,,35,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Sash,,,,,6,,,,,52,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Silk Gloves,,,,,10,,,,,26,,,,,,,3,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Silk Pants,,,,,7,,,,,36,,,,,,6,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Silk Vest,,,,,5,,,,,43,,,,,,9,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of Deep Places,,,,,11,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of Purification,,,1,,11,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of the Fist,,,,,11,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of the Iron Fist,,,,,11,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of the Undercity,,,,,11,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of Defense,,,,,16,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of Healing,,,,,16,,,,,21,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of Stamina,,,,,16,,,,,21,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of Strength,,,,,16,,,,,21,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of the Bear,,,,,16,,,,,21,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of the Boar,,,,,16,,,,,21,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of the Eagle,,,,,16,,,,,21,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of the Gorilla,,,,,16,,,,,21,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of the Monkey,,,,,16,,,,,21,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
