Name,Phase,Prerequisite,Unique,Set,Slot,Type,Speed,Low,High,Armor,Health,Mana,Strength,Agility,Stamina,Intellect,Spirit,Attack Power,Spell Damage,Spell Healing,Nature Damage,Frost Damage,Fire Damage,Phys Hit,Spell Hit,Phys Crit,Spell Crit,Dagger Skill,Mace Skill,Axe Skill,Two-hand Mace Skill,Two-hand Axe Skill,Staff Skill,Melee Haste,Spell Haste,Mp5,Hp5,Spell Pen,Defense,Dodge,Parry,Block,Block Value,Arcane Resistance,Fire Resistance,Nature Resistance,Frost Resistance,Shadow Resistance
Artemis Cowl,25,,,,Head,,,,,84,,,,7,6,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humbert's Helm,25,,,,Head,,,,,76,,,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakkamar's Tattered Thinking Cap,25,,,,Head,,,,,38,,,,,,8,6,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilient Cloth Headband,25,,TRUE,,Head,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilient Leather Mask,25,,TRUE,,Head,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringed Helm,25,,,,Head,,,,,76,,,,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturdy Hood,25,,,,Head,,,,,134,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Elementalist's Cowl,25,,,,Head,,,,,84,,,,,9,10,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Invoker's Shawl,25,,,,Head,,,,,38,,,,,11,,9,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Slayer's Cowl,25,,,,Head,,,,,84,,,,10,9,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Shroud Choker,25,,,,Neck,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Droplet Choker,25,,,,Neck,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glowing Fetish Amulet,25,,,,Neck,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glowing Green Talisman,25,,,,Neck,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Tide Choker,25,,,,Neck,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Bone Necklace,25,,,,Neck,,,,,21,,,,,,2,7,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout's Medallion,25,,TRUE,,Neck,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of Agility,25,,,,Neck,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of Concentration,25,,,,Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Spectral Necklace of Eluding,25,,,,Neck,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,
Spectral Necklace of Fire Resistance,25,,,,Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Spectral Necklace of Frost Resistance,25,,,,Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Spectral Necklace of Intellect,25,,,,Neck,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of Nature Resistance,25,,,,Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Spectral Necklace of Regeneration,25,,,,Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Spectral Necklace of Shadow Resistance,25,,,,Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Spectral Necklace of Spirit,25,,,,Neck,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of Stamina,25,,,,Neck,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of Strength,25,,,,Neck,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Bear,25,,,,Neck,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Boar,25,,,,Neck,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Eagle,25,,,,Neck,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Falcon,25,,,,Neck,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Gorilla,25,,,,Neck,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Monkey,25,,,,Neck,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Owl,25,,,,Neck,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Tiger,25,,,,Neck,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Whale,25,,,,Neck,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Necklace of the Wolf,25,,,,Neck,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voidwalker Brooch,25,,,,Neck,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azshari Novice's Shoulderpads,25,,,,Shoulders,,,,,35,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Mantle,25,,,,Shoulders,,,,,30,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristlebark Amice,25,,,,Shoulders,,,,,67,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut Mantle,25,,,,Shoulders,,,,,30,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Leather Shoulders,25,,,,Shoulders,,,,,68,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Speaker Mantle,25,,,,Shoulders,,,,,32,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of Agility,25,,,,Shoulders,,,,,69,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of Defense,25,,,,Shoulders,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of Intellect,25,,,,Shoulders,,,,,69,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of Nature's Wrath,25,,,,Shoulders,,,,,69,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of Stamina,25,,,,Shoulders,,,,,69,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of the Boar,25,,,,Shoulders,,,,,69,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
